Diagnose 1,Diagnose 2,,p-values for RR
K05,L98,"1,44","1,627E-11"
K91,M81,"1,59","3,106E-66"
N03,J15,"1,8","3,73E-36"
E10,K05,"1,55","6,723E-123"
D11,C83,"1,7","1,11E-11"
K51,L88,"15,66",0
E10,F43,"1,27","9,037E-23"
C82,B37,"4,81","4,173E-248"
K63,E86,"1,59","6,401E-71"
Q61,K10,"6,11","2,35E-142"
N13,G95,"2,28","2,561E-84"
D11,K05,"2,17","2,133E-30"
M05,A09,"1,41","1,317E-50"
H66,D48,"2,06","2,439E-32"
G35,G41,"5,44","1,676E-253"
C45,D64,"1,75","8,44E-63"
J38,J95,"12,55",0
C54,N82,"6,74","1,382E-305"
M06,A09,"1,52","3,703E-84"
C32,B37,"2,22","2,525E-52"
F04,F00,"13,6","2,857E-155"
J00,J46,"2,26","1,417E-41"
G99,I63,"2,54","6,096E-36"
K10,J90,"2,21","4,678E-18"
E14,E34,"2,01","7,286E-28"
G99,I64,"3,16","7,682E-105"
C21,C77,"5,24",2.231436e-316
H65,F79,"1,85","1,581E-62"
M05,M82,"5,95","8,97E-167"
C53,N10,"2,66","1,23E-145"
D50,K65,"1,45","1,35E-16"
C90,K02,"4,37","1,813E-285"
I15,M85,"1,45","2,609E-10"
N41,C61,"2,7","1,071E-87"
M54,C41,"1,79","2,757E-29"
J99,A41,"1,9","5,979E-19"
D11,C82,3,"5,612E-31"
N18,A04,"4,33",0
D06,N93,"1,83","1,728E-23"
K59,F00,"1,3","4,637E-22"
J45,E27,"1,54","1,66E-33"
A09,A04,"6,36",0
I26,E72,"7,59","1,264E-64"
H66,D83,"2,41","1,883E-29"
K76,E86,"1,54","2,296E-54"
N81,Q51,"17,25",0
I12,L97,"2,93","1,084E-119"
H81,G98,"2,96","1,11E-35"
M83,J96,"1,68","6,519E-13"
N40,N36,"2,17","7,46E-62"
I63,F17,"1,18","4,107E-10"
D24,D05,"5,77","1,044E-284"
F10,K12,"1,43","4,94E-34"
C85,D70,"12,85",0
K04,C80,"2,75","2,214E-37"
L02,F19,"3,66","2,576E-301"
Q20,H66,"2,81","5,974E-142"
E11,I33,"1,46","3,742E-62"
M06,H19,"4,95","1,027E-174"
C91,D59,"18,57",0
H90,H54,"1,62","5,425E-35"
C45,J96,"2,21","4,753E-100"
C50,L91,"1,72","2,829E-21"
Q90,H66,"2,7","9,739E-167"
C50,C72,"3,73","1,387E-89"
Q03,H91,"2,58","1,718E-41"
M06,C44,"1,17","5,8E-10"
K22,K72,"1,7","3,329E-23"
K70,K02,"2,35","6,261E-158"
C90,D61,"9,63",0
M05,D61,3,"7,809E-91"
C31,E86,"1,92","8,606E-15"
E84,K56,"15,67",0
Q75,M21,"2,32","1,12E-14"
E21,E89,"12,54",0
D35,M85,"3,48","2,03E-100"
A09,F33,"1,39","1,523E-18"
I70,L08,"2,44",0
D12,C17,"2,04","1,256E-19"
H66,H95,"33,75",0
I11,N19,"2,19","3,753E-142"
G51,I69,"1,69","1,544E-54"
C56,F41,"1,75","2,585E-72"
K80,K90,"1,36","6,036E-18"
D33,C80,"2,82","1,301E-36"
C81,N46,"3,25","3,362E-68"
E11,B96,"1,41","1,356E-26"
I20,I42,2,0
I25,I13,"2,54",5.640253e-320
F10,F02,"5,01",0
Q05,L90,"4,28","1,571E-73"
M51,F45,"1,73","8,887E-52"
I64,E16,"1,2","1,279E-23"
J18,B44,"3,57","8,525E-197"
D86,E66,"1,3","2,246E-21"
G56,M18,"3,56",0
C64,A41,"1,59","1,114E-92"
M35,K52,"1,32","2,726E-31"
Q87,G47,"7,33",0
N03,K62,"1,34","2,621E-10"
M25,M48,"1,23","4,584E-14"
I34,E25,"2,16","2,799E-11"
G24,E86,"1,43","1,517E-11"
K04,N17,"1,7","3,254E-15"
C85,A04,"2,78","1,712E-68"
I44,N18,"1,29","1,11E-35"
C67,N99,"2,54",0
C16,C79,"1,89","3,775E-139"
F00,L89,"1,49","1,723E-14"
M05,I00,"24,89",0
N87,C54,"2,12","6,037E-37"
C18,D70,"2,27","5,58E-60"
K26,F17,"2,52","7,318E-154"
J45,F60,"1,51","2,054E-25"
K50,L30,"2,79","1,861E-240"
G40,F60,"2,61","2,201E-200"
E10,K04,"1,59","2,971E-161"
G45,D51,"1,31","3,712E-12"
G71,K59,"3,34","1,455E-283"
J44,J95,"1,97","3,753E-205"
L30,N17,"1,7","1,443E-17"
K43,F17,"2,58","2,19E-264"
I48,I36,"4,13",0
C32,J98,"1,84","2,326E-36"
Q21,M41,"1,9","3,909E-34"
G43,E55,"1,81","4,867E-14"
Q21,A49,"2,13","5,718E-38"
C91,B44,"22,23",0
K62,K43,"1,5","4,179E-96"
G95,D63,"4,32",0
E10,E70,"6,07",0
K02,I08,"6,2","1,184E-30"
C56,D69,"1,7","6,928E-46"
J43,N17,"1,92","4,01E-37"
D51,N19,"1,46","1,099E-15"
I80,I89,"2,75","3,939E-139"
I49,I95,"1,85","3,185E-112"
E23,M81,"4,66",0
K86,K43,"2,28","4,259E-236"
D09,D63,"1,71","1,926E-14"
N31,L97,"1,61","1,349E-23"
K29,E14,"1,17","1,134E-14"
K20,E47,"2,84","4,182E-11"
C51,C78,"1,72","1,025E-23"
C07,H02,"9,18","2,835E-171"
G35,L60,"2,28","2,588E-50"
L40,N17,"1,43","9,121E-11"
Q42,N39,"9,63",0
L02,I87,"2,04","3,547E-52"
D38,C79,"4,31","1,76E-202"
C44,L57,"17,06",0
D50,C17,"6,03","3,284E-111"
N03,D23,"2,52","2,205E-43"
J20,E66,"1,56","4,162E-59"
N13,C66,"12,51",0
K30,K82,"2,38","2,774E-29"
G71,J15,"5,79",0
K30,K86,"1,34","6,498E-28"
J46,M80,"2,31","1,485E-21"
K56,K43,"5,71",0
F10,A09,"1,28","3,271E-107"
M62,J42,"1,32","3,159E-32"
M32,N30,"2,12","1,165E-156"
I35,D59,"2,63","2,573E-92"
K50,A49,"2,01","2,488E-94"
C25,E64,"2,81","9,769E-89"
I60,G44,"5,04","8,409E-222"
C65,D63,"5,11","1,032E-280"
E10,H44,"2,83",0
G40,F33,"1,9","4,05E-183"
K50,M80,"1,87","1,401E-76"
H66,D84,"3,29","3,78E-117"
I85,C22,"15,2",0
I10,E70,"1,86","1,799E-77"
J11,N30,"1,38","4,82E-24"
D30,F17,"1,62","1,203E-54"
G20,K56,"1,24","1,091E-17"
A46,N19,"1,27","3,402E-23"
K83,D63,"1,39","1,194E-18"
Q05,G91,"26,8",0
C56,A49,"1,45","1,121E-28"
Q25,J39,"2,89","9,922E-26"
D50,K72,"2,87","1,709E-89"
G40,K08,"1,34","3,949E-26"
L30,D64,"1,22","1,947E-15"
N83,K66,"6,57",0
C54,E83,"2,89","2,657E-107"
I47,M10,"1,37","3,895E-42"
J90,F41,"1,9","1,746E-24"
C80,D63,"4,31",0
Q21,K22,"2,83","1,494E-54"
C51,C79,"2,42","3,409E-53"
C34,J91,"4,54",0
C53,G95,"3,14","5,815E-106"
Q39,J05,"3,75","4,329E-137"
D21,D75,"4,45","1,916E-47"
F10,A16,"3,9",0
K74,I46,"1,56","2,372E-14"
D14,K05,"2,19","1,056E-47"
Q87,K02,7,4.778045e-316
I25,E20,"3,13",0
C18,I82,"1,97","1,696E-89"
C50,C70,"3,87","1,842E-82"
L40,J44,"1,13","1,285E-12"
N03,N25,"42,61",0
C91,J01,"8,22",0
Q21,Q53,"1,33","9,637E-15"
F10,L30,"1,73","1,113E-233"
D35,E23,"136,81",0
Q43,E86,"5,24","7,705E-271"
Q90,J96,"4,22","6,444E-190"
D11,H02,"1,6","4,334E-13"
K02,L98,"1,62","6,435E-20"
M32,I10,"1,74","1,798E-164"
C71,F41,"2,91","3,304E-116"
I60,H53,"3,69","9,053E-105"
A16,B90,"146,5",0
M34,L97,"4,58","3,988E-188"
I42,E87,"1,58","1,156E-63"
D51,D63,"1,81","5,184E-37"
N40,N02,"2,24","8,429E-173"
I21,I78,"2,36","1,721E-146"
M32,J15,"2,77","4,784E-109"
D33,G96,"5,34","6,135E-184"
G45,G93,"1,4","6,515E-10"
E89,E86,"1,78","6,945E-45"
J94,C38,"23,21","6,324E-302"
K92,A41,"1,39","3,956E-121"
K62,D64,"1,33","5,974E-190"
M81,A49,"1,17","1,444E-10"
H36,I50,"1,61","6,934E-284"
I73,D50,"1,33","4,018E-33"
M79,I87,"1,54","9,639E-29"
C20,K66,"2,58","1,083E-43"
E15,I46,"2,28","5,173E-11"
C20,I80,"1,23","3,196E-26"
C09,K08,"10,86",0
L03,M86,"5,73",0
G20,F05,"2,52","3,427E-120"
G71,G47,"6,12",0
K29,H54,"1,38","3,211E-12"
J42,F05,"1,44","5,04E-10"
G35,N28,"1,79","4,528E-26"
G40,E47,"1,75","8,021E-17"
C77,J91,"3,27","5,294E-251"
E10,E47,"1,63","4,616E-19"
F48,E86,"1,84","1,847E-14"
M99,G96,"1,7","2,273E-10"
I74,I46,"1,6","9,924E-14"
C60,C77,"11,14",0
E10,E72,"6,06",0
N03,E86,"2,49","7,58E-133"
N03,J81,"7,5","9,898E-304"
N30,A41,"2,01",0
M35,M48,"1,7","3,658E-162"
E11,N10,"1,66","2,669E-295"
F10,F21,"5,91","1,984E-230"
Q05,L89,"85,34",0
J00,D84,"2,61","1,485E-47"
N19,L98,"3,63",0
C18,K46,"1,9","2,693E-29"
M32,H53,"3,81","2,778E-97"
B34,D83,"1,92","6,871E-21"
K25,F32,"1,36","7,745E-64"
E15,A41,2,"3,786E-27"
K20,F17,"2,55","9,808E-107"
K73,A41,"2,39","8,507E-64"
Q90,K59,"1,96","3,091E-63"
E21,D35,"21,4",0
L28,A41,"2,01","3,613E-33"
M06,M84,"1,62","3,307E-17"
C61,N49,"1,7","2,777E-41"
C56,D71,"5,7","8,587E-131"
E03,L97,"1,48","7,802E-61"
D37,C20,"8,06",0
D05,I97,"4,63","1,331E-46"
H33,H57,"9,46",0
G35,B96,"5,2","8,679E-151"
G40,F01,"4,81",0
C13,K05,"12,78",0
K51,L30,"1,83","9,496E-84"
I15,A49,"2,36","1,187E-80"
K86,L98,"1,3","3,511E-14"
D06,C53,"14,59",0
G35,G40,"2,15",0
C21,K91,"5,83","2,273E-154"
N03,L57,"9,47","2,332E-146"
D43,E23,"11,34","3,795E-155"
M45,D64,"1,56","5,371E-25"
I34,I31,"9,52",0
Q20,B34,"2,52","2,438E-146"
M62,M15,"2,4","4,675E-190"
Q31,H65,"1,86","2,391E-15"
K66,E86,"1,76","4,532E-21"
Q42,A09,"2,55","2,145E-82"
K08,I08,"4,37","1,493E-20"
I15,A04,"3,16","3,296E-91"
B23,A41,"3,01","1,793E-244"
F10,D65,"2,27","2,104E-56"
M89,G95,"1,82","4,906E-11"
N95,C57,"1,73","4,037E-11"
K26,J69,"1,69","9,628E-18"
E14,A49,"2,4","4,407E-198"
C57,K56,"4,54","6,028E-165"
M06,I06,"4,19","2,304E-102"
E14,A04,"1,5","2,552E-16"
J44,J14,"5,76",0
I70,E16,"2,31",0
C61,G82,"1,48","3,111E-31"
F10,K31,"1,23","1,521E-12"
H36,N28,"1,66","1,045E-18"
C40,D63,"12,92",0
E16,F00,"1,46","8,621E-12"
C83,A49,"2,23","7,038E-132"
N04,N03,"87,51",0
C53,I80,"2,18","1,312E-212"
N02,A41,"1,59","7,47E-15"
I70,A09,"1,11","8,587E-15"
K58,K55,"2,88","6,936E-56"
N39,L89,"2,03","3,074E-280"
G71,I42,"22,86",0
C90,J20,"3,69",0
C91,E89,"6,51",0
G80,L98,"1,69","2,932E-17"
J42,M80,"2,4",0
M20,M96,"2,17","7,681E-62"
N03,I74,"3,5","3,491E-49"
D32,E23,"20,42",0
I10,E27,"1,29","8,327E-34"
Q87,K01,"5,68","4,315E-133"
G44,E78,"1,23","1,389E-14"
N03,G62,3,"6,788E-78"
M32,I69,"3,02","6,181E-193"
C67,C37,"13,99","1,664E-219"
C34,J15,"1,37","7,758E-232"
K25,K91,"1,59","3,512E-30"
M32,K30,"1,75","4,374E-56"
K70,J22,"1,84","8,44E-39"
M79,G62,"1,55","1,443E-97"
K51,B37,"1,56","6,555E-35"
E05,E34,"4,72",0
M31,I35,"1,27","1,799E-15"
C82,D70,"13,85",0
F32,J69,"2,47","2,595E-74"
K29,E13,"1,45","4,07E-11"
C07,K10,"14,35","1,72E-124"
C32,J69,"2,16","1,167E-19"
C77,E64,"1,84","2,795E-35"
H36,E25,"3,51","3,264E-30"
M62,M83,"1,56","1,962E-12"
I64,F06,"1,87","4,965E-67"
E10,H18,"1,69","1,428E-84"
E05,I27,"1,28","2,82E-11"
I60,G97,"8,77","8,662E-55"
C92,B96,"19,44",0
D30,C68,"10,16","5,042E-263"
Q21,H60,"2,17","1,018E-26"
C13,J18,"1,58","1,265E-67"
C15,E83,"3,5","8,355E-151"
F11,J15,4,"1,652E-181"
I10,I65,"1,97",0
E10,H21,"3,45","2,281E-138"
D40,C62,"35,31",0
H81,I64,"1,41","3,131E-111"
J44,E41,"1,74","3,317E-45"
Q90,A41,"2,62","1,365E-68"
E22,M81,"2,59","5,603E-127"
G40,F05,"2,81","4,695E-234"
L02,M86,"5,82",0
K58,M47,"1,29","3,599E-16"
E11,I78,"1,53","3,564E-67"
K25,F33,"1,61","3,255E-50"
I21,I11,"1,77","1,016E-271"
M31,K65,"2,67","9,808E-98"
F10,F09,"3,83","7,902E-171"
K86,K31,"13,34",0
C50,H49,"1,4","6,957E-18"
I73,D62,"1,24","1,252E-11"
F22,J96,"1,68","1,3E-11"
C34,G55,"2,76","2,461E-169"
Q05,M21,7,"3,614E-241"
C15,J91,"2,44","5,612E-69"
K62,K55,"3,04","9,558E-270"
Q03,M89,"3,22","5,604E-23"
K31,A41,"1,58","9,362E-32"
D33,I69,"1,31","7,558E-16"
D46,C46,"139,25",0
Q03,N39,"2,2","2,706E-20"
C15,C77,"3,55",0
Q85,H52,"4,41","8,897E-135"
B02,J15,"1,51","1,963E-21"
E10,I97,"1,55","1,485E-32"
K29,G31,"1,44","5,544E-11"
G80,E86,"3,86",0
B90,J96,"4,59","8,294E-129"
G80,K29,"3,18","6,04E-173"
C21,K59,"1,96","3,776E-87"
G20,G23,"42,67",0
E66,I69,"1,23","9,793E-60"
K60,E66,"1,13","1,179E-10"
M35,A09,"1,68","3,732E-138"
M62,G54,"1,79","1,316E-31"
M93,M16,"2,79","1,403E-74"
N70,N94,"2,29","3,696E-165"
A09,K55,"1,82","1,631E-29"
Q03,H53,"6,42","1,973E-79"
I21,I72,"1,44","3,469E-31"
K29,L29,"1,64","1,107E-15"
K44,C15,"1,58","2,206E-20"
L02,F11,"6,59",0
K86,N30,"1,45","1,727E-100"
E11,L29,"1,51","1,301E-47"
G95,A41,"1,78","7,855E-75"
A39,H90,"2,8","6,803E-18"
G56,E85,"1,98","8,974E-15"
Q43,A04,"38,2",0
N84,D07,"5,77","3,65E-241"
M33,M85,"3,36","1,64E-35"
N91,M81,"2,51","2,267E-26"
Q20,J18,"2,74","1,776E-211"
M48,E55,"1,82","6,295E-49"
D48,C83,"2,35","4,336E-34"
M62,G24,"1,54","1,505E-12"
L93,M81,"2,93","6,77E-112"
G82,A41,"2,86",0
E88,N18,"1,63","9,518E-26"
H91,F80,"2,98","2,243E-52"
H91,F84,"2,84","2,748E-46"
I48,J94,"1,33","2,073E-65"
I12,K02,"3,77","3,328E-66"
H06,H50,"32,73",0
L04,C80,"3,75","6,773E-20"
K74,J96,"1,64","3,035E-72"
K86,C25,"10,54",0
C13,E86,"2,41","1,854E-93"
F10,F40,"7,15",0
J42,E55,"1,9","1,088E-25"
K30,I84,"1,29","6,928E-63"
B23,K59,"1,69","5,577E-49"
G40,L27,"3,06","1,339E-167"
K02,E87,"1,66","1,206E-19"
M54,G55,"2,78","8,665E-151"
K85,K72,"1,5","1,176E-12"
M65,M10,"1,44","2,021E-24"
H28,E87,"2,14","1,151E-16"
K05,F41,"1,71","7,367E-11"
F79,J15,"2,83","6,258E-64"
F10,E51,"10,29",0
K57,A04,"1,25","1,205E-09"
C90,A04,"3,05","8,92E-138"
Q05,L97,"30,31",0
M47,N31,"2,06","1,74E-78"
C64,K59,"1,34","1,389E-38"
C81,N97,"3,5","2,055E-189"
E78,E50,"1,94","1,645E-37"
Q39,J00,"5,19","1,573E-261"
K21,K81,"1,56","4,865E-32"
M31,I95,"1,62","7,674E-21"
K70,I86,"13,72",0
M05,L30,"1,51","8,929E-29"
G80,M81,"2,52","5,973E-75"
I65,I95,"1,79","3,217E-23"
E03,J81,"1,46","8,289E-31"
B34,D84,"1,86","4,19E-31"
C92,J10,"21,78",4.917258e-317
Q03,H65,"1,66","1,652E-18"
C85,C82,"67,75",0
J00,A08,"1,33","5,38E-23"
M54,K27,"1,19","4,946E-13"
I35,J95,"1,89","2,693E-32"
H66,J11,"1,39","4,192E-10"
G62,N30,"1,41","1,208E-73"
M80,J15,"1,66","2,774E-190"
K10,I31,"4,43","1,973E-29"
Q21,B01,"1,73","1,007E-15"
J84,J96,"7,55",0
D37,K91,"2,85","5,965E-27"
J45,K43,"1,25","2,209E-35"
C54,J91,"1,57","1,073E-12"
C91,B01,"10,65",0
C62,K56,"1,51","2,989E-14"
H36,E70,"4,23","2,053E-36"
J00,Q85,2,"1,21E-18"
Q61,A49,"5,05","1,321E-239"
C10,J18,"1,56","2,834E-48"
B23,J15,"3,3","3,796E-202"
M54,G44,"1,51","6,413E-113"
L40,A49,"2,17","1,218E-76"
K05,C10,"23,71",0
I12,N25,"32,79",0
M05,K25,"1,32","4,148E-41"
E66,E55,"1,56","1,874E-45"
K29,E16,"1,2","3,134E-11"
G37,N39,"2,38","1,696E-54"
M70,M48,"1,58","2,883E-67"
I34,J91,"1,89","4,249E-35"
M31,H25,"1,38","1,489E-95"
C53,F52,"9,97","7,364E-136"
E78,I78,"3,37",0
G50,N39,"1,26","2,75E-11"
Q25,F83,"2,57","2,371E-10"
E11,E72,"3,37","1,562E-131"
G00,H90,"4,32","2,498E-130"
D63,G47,"1,46","4,439E-19"
D48,C50,"4,79",0
K85,K91,"2,21","9,986E-50"
F48,J18,"1,41","4,895E-11"
M06,L30,"2,07","1,447E-114"
K04,I97,"2,11","7,231E-10"
D33,H50,"3,42","2,902E-107"
C50,C40,"3,56","6,247E-169"
Q21,F98,"1,86","7,421E-26"
K26,N19,"1,2","1,183E-14"
M77,M47,"1,24","1,222E-11"
F10,G40,"2,55",0
J00,K12,"1,8","1,44E-17"
Q28,I69,"7,43",0
Q22,A09,"1,75","1,405E-26"
D48,D70,"2,4","4,227E-10"
K51,C22,"1,63","4,565E-14"
I50,I51,"3,14",0
M54,G97,"1,92","1,081E-28"
D41,C65,"22,75",0
C07,C79,"5,02","6,821E-139"
Q21,J39,"2,54","1,472E-38"
K70,K05,"1,42","4,755E-25"
C10,C78,"1,96","1,736E-38"
I21,I71,"1,16","8,236E-23"
M08,M85,"3,5","3,681E-28"
C90,B00,"10,03",0
K05,I97,"2,37","4,555E-11"
N91,M85,"2,65","3,118E-11"
K70,N19,"1,21","2,273E-16"
A39,H94,"33,25","3,863E-63"
C61,C31,3,"3,562E-61"
K22,J69,"4,46","1,119E-199"
I12,A09,"3,57","1,089E-230"
C34,E34,"1,62","3,272E-41"
I20,H81,"1,26","5,114E-111"
G40,G98,"2,61","6,799E-109"
F31,A41,"1,64","1,741E-32"
Q25,Q53,"1,49","1,365E-12"
D41,C67,"11,91",0
I47,I11,"1,64","4,434E-83"
I35,E25,"2,02","1,818E-24"
D86,I49,"1,37","1,06E-12"
K27,A41,"1,36","2,12E-26"
L03,I83,"1,34","3,003E-24"
M06,A08,"1,49","7,898E-22"
B23,L98,3,"7,896E-118"
C53,N18,"1,46","7,758E-34"
I48,I11,"2,12",0
I10,G63,"1,56","1,855E-94"
M05,D46,"1,88","1,112E-32"
C10,E64,"15,04","1,383E-291"
J18,E47,"1,46","6,245E-15"
M54,C90,"1,58","1,517E-48"
L93,A41,"2,26","3,302E-26"
C61,N10,"1,64","2,955E-103"
M06,E47,"2,09","1,617E-12"
K51,N20,"1,18","4,696E-14"
E14,N39,"1,62","1,428E-235"
M34,K59,"2,27","2,095E-128"
E14,L89,"5,03",0
E78,E55,"1,42","1,01E-30"
Q18,K05,"2,64","3,853E-29"
H10,M35,"1,37","7,021E-16"
M05,L02,"1,89","5,845E-167"
Q61,A09,"3,85",0
D59,M85,"2,69","9,652E-28"
N03,B25,"14,97","1,035E-196"
I12,K59,"1,27","7,504E-11"
C85,A49,"2,45","1,235E-95"
N83,N80,"7,26",0
G45,G31,"1,9","1,948E-43"
M06,J84,"3,19",0
J00,D83,"2,52","1,873E-24"
N81,N88,"11,9",0
G82,L89,"33,97",0
G62,E64,"2,1","6,867E-26"
K86,J86,"3,51","1,803E-158"
D86,M80,"2,19","3,705E-49"
I69,A49,"1,38","4,173E-64"
C64,F41,"1,73","1,581E-20"
D66,B18,"24,71",0
L03,M15,"1,52","4,771E-11"
L03,I80,"1,22","6,548E-12"
C61,C41,"4,79",0
G40,H48,10,0
D28,C56,"1,98","1,137E-23"
J18,J06,"2,07","3,503E-259"
N70,N99,"4,43","3,697E-141"
C18,C19,"23,38",0
N20,N25,"1,92","8,171E-32"
F10,F42,"5,79","4,09E-169"
C15,D64,"1,43","7,176E-98"
C54,I89,"2,64","7,671E-58"
H33,H02,"2,18","5,277E-108"
E10,K31,"2,65",0
K08,E64,"2,24","5,515E-16"
H36,K65,"1,75","3,948E-36"
C04,C79,"1,7","1,555E-11"
F48,F17,"2,92","2,027E-11"
N03,L08,"1,88","7,476E-20"
E66,D50,"1,21","7,736E-22"
N80,N13,"2,14","3,481E-77"
I12,E86,"1,51","1,393E-33"
N70,N98,"4,2","3,919E-55"
J37,K05,"3,13","6,637E-72"
K52,E47,"3,44","2,395E-42"
G91,F00,"3,63","1,572E-57"
D86,L98,"2,26","1,359E-81"
L03,L30,"1,87","2,135E-50"
D41,D64,"1,3","5,197E-11"
K86,K56,"2,36","7,275E-255"
Q90,E03,"10,36",0
J45,E65,"1,46","3,475E-21"
L01,J22,"5,44","4,311E-31"
I10,F33,"1,54",0
C91,A40,"9,72",0
C67,E83,"1,52","2,549E-27"
D30,C65,"11,38",0
C50,C69,"2,14","6,459E-62"
K57,K55,"2,28","1,202E-128"
D27,K66,"5,1","1,857E-254"
A46,F05,"1,39","2,58E-11"
E21,A41,"1,35","5,108E-22"
K70,N30,"1,74",0
C09,C14,"29,59","9,268E-276"
C67,K91,"1,71","2,01E-51"
D33,H16,"2,99","1,825E-40"
E10,N31,"1,4","2,158E-67"
I34,K01,"6,15","2,452E-167"
Q25,E64,"3,31","2,248E-19"
H36,H28,"40,92",0
J45,Q85,"1,59","9,224E-50"
C56,I82,"2,58","2,655E-131"
F10,E63,"3,36","1,457E-175"
N13,N18,"4,06",0
G82,A46,"3,02","2,176E-230"
Q41,B34,"3,04","1,753E-45"
E11,G64,"1,21","8,072E-10"
K25,M80,"1,23","1,828E-25"
