Diagnose 1,Diagnose 2,,p-values for RR
K92,E47,"1,86","1,158E-09"
Q22,J03,"1,61","1,689E-12"
E11,G31,"1,25","8,751E-19"
A09,E55,"1,52","1,128E-16"
G00,H91,"2,43","5,745E-114"
G82,E86,"2,29","2,479E-209"
C07,K04,"10,19","1,368E-145"
B23,J44,"1,8","2,754E-74"
Q39,H65,"2,63","1,9E-72"
C73,C78,"3,03","7,48E-236"
C02,J18,"1,31","2,327E-20"
G50,E87,"1,78","1,999E-28"
E10,I33,"1,99","1,47E-139"
G56,M15,"1,75","8,907E-117"
K20,J69,"1,92","6,293E-15"
Q25,F98,"2,24","4,066E-21"
N85,C54,"9,68",0
M89,E21,"2,51","2,067E-33"
D33,H49,"11,88",0
G80,K92,"5,91",0
I27,A41,"1,33","3,637E-22"
H36,I63,"1,72","1,809E-154"
L20,L08,"2,24","7,403E-61"
C30,H04,"23,43","1,754E-227"
Q21,F79,3,"2,342E-100"
K22,E64,"4,26","2,811E-237"
F03,L89,"1,68","4,179E-121"
K70,C01,"2,34","2,967E-21"
C18,C80,"2,28","1,792E-161"
I10,A08,"1,19","1,05E-39"
E10,G93,"1,77","8,03E-105"
N97,N88,"2,71","8,374E-96"
G20,A49,"1,27","6,507E-11"
N91,E11,"2,1","2,839E-17"
Q39,J45,"2,96","3,245E-214"
L04,A18,"22,56","1,167E-209"
N18,M82,"6,39",2.355026e-317
C78,E86,"1,4","4,882E-222"
M34,L98,"8,16",0
E14,N08,"9,84",0
Q75,H65,"2,15","1,761E-78"
C45,F41,"4,41","5,546E-82"
I12,B25,"12,55","4,063E-90"
J41,J15,"3,05","6,878E-272"
G40,F90,"5,56",0
E16,J69,"2,01","1,177E-24"
K63,D63,"1,46","1,465E-16"
M05,J84,"4,03",0
J45,B37,"1,39","4,847E-52"
C49,C79,"6,63",0
Q41,J18,"2,51","6,515E-27"
G45,D43,"1,48","8,321E-10"
C09,B37,"4,83","5,065E-127"
C61,C69,"2,74","3,613E-94"
M05,L08,"1,46","4,04E-23"
G82,K92,"2,29","9,606E-151"
C90,J81,"1,59","1,635E-30"
C57,C79,"3,12","2,543E-80"
L40,M19,"1,41","5,632E-33"
I70,A40,"1,31","2,302E-14"
C67,C80,"1,42","7,905E-19"
N82,K43,"4,88","1,572E-151"
G62,F17,"1,86","3,073E-44"
F11,K72,"5,17","6,596E-107"
C54,C80,"2,05","2,237E-31"
D38,D63,2,"4,631E-21"
C56,G47,"1,45","1,374E-23"
L21,J96,"1,64","8,981E-11"
E11,B99,"1,5","1,816E-21"
G40,H47,"4,78",0
E16,M14,"8,97","2,563E-194"
I12,A04,"4,65","3,201E-89"
G71,E64,"25,39",0
L40,I64,"1,25","4,46E-21"
C82,D61,"14,46",0
M06,M20,"4,85",0
D86,H35,"1,38","8,853E-12"
C16,C77,"3,24",0
H36,I70,"2,54",0
M89,M25,"2,21","4,678E-96"
M05,M86,"4,18","4,937E-269"
K02,D64,"1,48","1,591E-28"
D50,K55,"6,66",0
L93,E86,"1,87","1,993E-15"
E21,F00,"1,58","3,87E-12"
J18,J14,"3,8",0
M32,M20,"1,55","1,928E-20"
J21,H90,"1,86","4,456E-13"
K86,N19,"1,43","6,032E-37"
Q21,H61,"3,26","1,008E-41"
N03,A04,"6,68","5,957E-164"
N04,K05,"4,67","1,577E-65"
K86,E47,"8,16","6,764E-137"
Q61,A04,"5,37","8,492E-128"
J00,A09,"1,48","2,456E-103"
L30,E87,"1,62","6,747E-36"
C77,D64,"1,31","1,954E-74"
Q61,K05,"3,67","3,456E-94"
G82,L08,"2,49","1,366E-97"
E10,N16,"5,28","1,777E-275"
Q21,I46,"4,78","1,126E-91"
Q05,N18,"7,68","5,997E-170"
M81,L98,"1,28","8,636E-39"
N93,K63,"2,99","1,159E-60"
K21,A04,"1,34","8,758E-11"
C81,D63,"3,86","2,436E-204"
Q61,B25,"15,03","4,352E-168"
Q61,I73,"1,68","1,359E-28"
Q65,L89,"3,66","7,837E-26"
L05,F17,"3,3","5,039E-295"
H36,H54,"4,87","1,832E-268"
M31,A46,"1,47","7,502E-26"
B34,B27,"1,76","3,457E-25"
N71,K57,"1,91","2,571E-20"
E66,D62,"1,22","4,526E-12"
C49,D64,"2,45","1,584E-212"
E84,B96,"55,72",0
Q44,J15,"2,07","4,963E-12"
E11,I35,"1,26","7,091E-214"
N03,C44,"3,61","2,273E-131"
K44,K81,"1,53","3,743E-23"
E66,G63,"2,27","3,518E-73"
K51,C24,"2,74","6,837E-43"
D86,G47,"1,55","3,963E-25"
K70,C02,"2,2","3,272E-38"
J45,M82,"1,7","3,66E-15"
K74,A41,"2,78",0
K51,N17,"1,34","9,08E-13"
I70,K65,"1,36","1,323E-48"
F10,F51,"6,35",0
L20,H16,"4,52","2,13E-114"
C20,C80,"1,44","1,38E-16"
E78,I51,2,0
C16,J91,"2,62","2,599E-81"
K29,K74,"2,93",1.024950e-313
K02,J69,"3,3","1,769E-30"
C73,E83,"6,06","4,208E-161"
M05,H19,"5,46","7,216E-207"
K80,K45,"1,28","4,589E-10"
L40,K70,"2,99",0
G20,I95,"2,91",0
K22,K52,"1,3","1,809E-18"
M65,M07,"1,8","1,434E-44"
K10,J18,"1,33","1,336E-24"
C82,A04,"4,04","5,999E-101"
M31,C44,"1,29","6,844E-12"
Q21,J96,"3,46",0
D12,D64,"1,12","2,479E-24"
E14,E64,"1,69","1,248E-23"
M50,G96,"1,7","1,036E-24"
I64,G98,"1,67","7,311E-15"
G37,L89,"5,81","1,438E-55"
K44,E03,"1,18","2,925E-10"
C04,C78,"1,6","2,171E-11"
C53,N19,"1,74","1,046E-54"
E88,I99,"4,91","6,417E-114"
K70,D62,"5,84",0
M48,G23,"1,79","5,13E-10"
A63,D12,"1,41","8,52E-11"
I42,I95,"3,2","1,47E-252"
C51,I89,"14,89","3,112E-299"
F10,C12,"2,43","6,094E-25"
K10,J69,"2,51","0,000000001"
L23,J22,"2,76","1,584E-13"
G44,F33,"2,87","2,38E-89"
K20,N30,"1,13","2,97E-11"
C69,A41,"2,42","1,718E-62"
Q61,N25,"32,35",0
B34,N39,"1,23","7,714E-17"
Q03,H47,"22,6","2,559E-282"
K29,I71,"1,27","1,113E-19"
A15,J96,"2,75","2,262E-84"
D21,C49,"17,07",0
H46,G35,"46,08",0
E04,E83,"1,91","8,975E-51"
C43,J91,"1,41","4,601E-10"
C19,K59,"2,23","1,719E-70"
M10,N17,"2,76","2,966E-181"
J11,M54,"1,24","3,137E-10"
H81,F44,"2,91","1,045E-23"
K50,E83,"3,16","4,042E-166"
Q25,J21,"2,21","2,732E-24"
E05,E55,"2,05","2,455E-76"
K44,K63,"1,31","3,454E-11"
C77,E83,"2,52","3,82E-132"
B23,N39,"1,51","2,224E-20"
C91,K02,"2,77","7,293E-220"
L93,M85,"3,63","8,221E-44"
I77,M81,"1,91","2,542E-30"
F11,B24,"17,64","2,738E-207"
M16,M00,"1,43","1,411E-27"
E84,E14,"10,38",0
F33,A41,"1,4","4,759E-30"
C62,D70,"10,11","6,953E-175"
B34,A68,"2,51","4,618E-37"
H81,H54,"1,53","7,846E-13"
C13,C10,"49,89",0
F50,M85,"7,02","3,681E-101"
B18,E87,"1,73","2,446E-33"
G40,A40,"1,36","1,558E-14"
M47,M80,"1,71","9,125E-106"
M05,J86,"2,03","2,903E-34"
M32,H26,"3,66","5,913E-170"
J20,M80,"1,46","2,058E-21"
F10,F55,"5,18",0
N03,M82,"19,07","1,318E-160"
I21,I99,"2,04","1,139E-212"
M43,N31,"1,79","6,126E-24"
M32,N19,"9,24",0
H36,E78,"2,41",0
N31,N18,"1,51","2,259E-31"
G35,N32,"2,93","1,237E-119"
C49,C78,"10,68",0
C73,E20,"12,97","1,195E-141"
N87,C52,"5,98","2,348E-35"
M41,J96,"7,63",0
C49,K59,"1,48","1,075E-29"
E66,I11,"3,9",0
C85,B59,"23,5","1,346E-252"
K51,N36,"1,89","1,599E-15"
C69,H44,"26,25","3,481E-292"
D14,K04,"2,08","3,019E-45"
M62,I45,"1,34","6,246E-13"
E11,K74,"2,02",0
M05,I06,"3,87","2,735E-80"
C13,D63,"2,57","2,489E-58"
M10,L97,"2,1","8,045E-166"
B18,I85,"14,64",0
B02,E86,"1,37","2,649E-24"
Q42,K59,"9,89",0
C45,K59,"1,93","6,481E-70"
E21,F03,"1,46","8,249E-31"
Q04,J15,"5,96","2,757E-87"
L28,J18,"1,29","3,228E-13"
M15,C61,"2,06","2,649E-63"
I10,E35,"1,56","1,983E-21"
M23,M94,"6,27",0
C34,J22,"1,62","9,868E-89"
G45,Q21,4,"2,268E-92"
I25,K57,"1,09","1,356E-40"
J45,J84,"2,2","7,793E-273"
K21,D12,"1,37","1,276E-63"
N42,C79,"2,38","9,211E-12"
Q05,L98,"6,54","4,917E-148"
Q61,I46,"2,46","4,957E-39"
D17,C49,"4,68","4,593E-186"
I25,I31,"1,98","3,494E-217"
M32,D64,"2,79","1,779E-207"
K86,E55,"2,65","1,981E-46"
G40,I40,"4,19","2,043E-147"
C50,M49,"3,45","1,508E-114"
Q89,H52,"2,31","2,44E-10"
C90,A49,"3,09","1,639E-284"
M48,G96,"1,97","6,171E-74"
G80,E64,"4,33","1,88E-91"
C02,C78,"1,42","1,905E-10"
E10,F50,"3,81","1,566E-285"
I50,I97,"2,12","8,8E-158"
D40,D63,"2,94","4,831E-22"
C02,D63,"1,62","4,001E-11"
Q22,E86,"1,69","1,979E-10"
Q25,J13,"3,71","8,033E-47"
N93,N39,"1,25","3,9E-12"
A18,B90,"106,84",0
K86,M80,"2,23","1,269E-117"
H28,D64,"1,53","4,878E-13"
D50,C22,"1,91","2,279E-20"
F79,J96,"2,62","1,524E-62"
J37,K22,"2,23","3,469E-41"
I47,I72,"1,41","5,432E-14"
K50,M82,"6,5","1,062E-139"
C19,D63,"3,47","1,139E-86"
K76,J96,"1,45","1,4E-35"
C07,C78,"3,46","1,608E-81"
F10,I86,"1,61","1,409E-46"
M89,K05,"1,78","1,243E-14"
K50,N17,"2,19","4,109E-77"
H10,L30,"1,56","2,219E-27"
G43,F41,"1,74","1,471E-29"
I10,I72,"1,37","8,422E-71"
C85,K02,"3,98","5,262E-188"
J45,K30,"1,09","2,478E-12"
K29,I11,"1,23","1,199E-10"
M15,M80,"1,7","6,198E-55"
Q41,J20,"2,21","6,741E-18"
N48,G63,"2,64","1,588E-18"
Q21,Q99,"7,58","1,658E-228"
M32,D68,"12,35",0
M31,A04,"2,34","7,735E-46"
J44,B44,"4,07",0
M06,E27,"2,2","2,128E-42"
I10,N16,"1,53","2,003E-22"
C13,E64,"10,86","2,774E-220"
M32,I50,"2,39","8,428E-160"
I21,I13,"1,72","4,123E-32"
J45,I45,"1,67","1,071E-73"
K80,K58,"1,73",6.170880e-321
I88,C91,"1,83","1,329E-10"
M41,G95,"4,83","8,083E-98"
M06,M43,"3,21",0
N03,I20,"1,62","6,732E-104"
C83,K02,"4,24",0
M10,D62,"1,67","1,394E-35"
Q22,H66,"2,54","2,295E-81"
B18,K74,"29,93",0
C02,K04,"11,18",0
Q21,E03,"2,27","1,679E-43"
C92,E89,"3,79","6,256E-76"
I20,I66,"2,09","1,325E-74"
K59,K55,"2,15","7,971E-120"
C43,D22,"28,94",0
M60,M81,"1,71","2,769E-13"
D33,H57,"2,8","4,812E-31"
M35,D50,"1,39","1,786E-38"
G57,M48,"2,02","3,402E-64"
D38,C34,"12,07",0
D37,C18,"7,53",0
Q61,J81,"4,63","2,209E-137"
E03,G30,"1,35","3,235E-10"
I12,J18,"1,68","1,183E-167"
M05,N08,"2,25","1,844E-17"
N70,N84,"1,81","3,372E-35"
H65,F80,"1,63","1,044E-10"
N95,I10,"1,25","3,958E-150"
I10,F32,"1,51",0
C53,N88,"2,97","3,103E-40"
J37,J95,"4,7","1,291E-37"
D45,C92,"7,36","1,609E-156"
Q02,M89,"4,92","1,501E-34"
N20,E79,"16,12","5,26E-246"
C53,N99,"2,14","1,879E-43"
N04,E87,"4,6","5,291E-151"
C07,K05,"12,88","1,78E-196"
F11,L89,"7,53","4,997E-164"
I61,G41,"6,14","1,283E-165"
K86,K46,"5,07","2,872E-137"
D30,N45,"1,63","8,451E-68"
D48,C49,"10,98",0
N04,M85,"3,13","1,479E-26"
F10,L21,"1,88","1,091E-71"
K29,F43,"1,38","2,154E-14"
D59,A41,"3,78",0
G24,J96,"2,28","7,136E-60"
G80,G24,"22,48",0
K50,N20,"1,85","1,68E-180"
K70,M80,"2,05","1,894E-125"
M05,J13,"1,71","3,883E-21"
G71,N39,"1,8","2,057E-31"
I64,E63,"1,6","1,268E-17"
J99,H25,"1,6","3,352E-15"
H36,I15,"3,8",0
Q87,L08,"2,67","3,735E-36"
E13,E86,"1,98","1,121E-36"
K25,N17,"1,76","7,267E-79"
K20,K52,"1,62","6,693E-46"
K44,D12,"1,62","2,515E-126"
J98,J22,"3,22","1,506E-87"
C18,C22,"2,29","3,059E-121"
C85,A40,"5,16","9,588E-168"
G40,J13,2,"3,3E-113"
I50,N25,"1,32","3,208E-14"
I35,I51,"4,54",0
L05,L90,"1,37","8,314E-12"
C56,B37,"1,31","6,632E-16"
K86,E15,"5,38","8,74E-167"
J44,G53,"1,91","2,007E-13"
L40,C22,"1,73","2,692E-10"
Q42,N31,"42,9",0
I61,G40,"4,61",0
K70,K43,"1,49","6,902E-68"
E11,E53,"1,45","2,081E-37"
N13,C65,"5,49","3,085E-226"
D37,C25,"3,99","2,375E-83"
M89,D47,"2,07","2,584E-11"
C67,D69,"1,85","7,742E-93"
G71,E86,"2,94","3,72E-108"
M10,D64,"1,64","2,133E-231"
M06,M86,"3,11","3,656E-146"
D11,K10,"2,19","1,005E-17"
C20,I89,"1,57","1,99E-18"
Q32,B34,"2,55","1,025E-35"
E10,K10,"1,48","3,292E-53"
H81,G93,"1,7","7,589E-15"
K62,C19,"3,67","4,595E-123"
N03,I84,"1,64","1,946E-25"
K42,E68,"2,45","1,56E-13"
Q89,H90,"4,09","6,277E-49"
Q39,K21,"32,36",0
C91,A09,"1,47","3,015E-98"
M81,E87,"1,29","2,098E-74"
N04,L98,"2,89","1,689E-44"
J40,J15,"2,54","1,395E-64"
C02,K05,"15,53",0
M05,D50,"1,34","2,775E-27"
N03,I21,"1,77","1,117E-66"
C56,K63,"1,82","1,521E-82"
G35,G50,"6,61",0
M62,L50,"1,23","4,071E-10"
Q53,N49,"3,25","1,126E-30"
D11,C07,"76,44",0
G71,I46,"6,38","9,62E-111"
Q25,J14,"3,71","1,427E-42"
C02,K02,"20,3",0
K20,E64,"2,05","3,352E-23"
I12,K92,"1,89","4,731E-55"
K02,J95,"5,37","2,391E-55"
A15,E55,"11,34","1,023E-125"
M32,A09,"3,29","1,241E-205"
E10,H16,"2,1","1,694E-198"
K29,I50,"1,11","2,668E-26"
Q21,G80,"1,32","1,33E-11"
K04,D68,"2,11","4,804E-30"
M21,M53,"1,37","6,052E-15"
M47,G96,"1,58","1,651E-18"
C09,K07,"8,77","5,415E-144"
J42,J81,"1,75","1,274E-83"
C20,N32,"2,61","5,259E-172"
C64,G95,"6,6",0
Q90,H90,"6,93",0
Q64,I10,"1,88","3,809E-16"
C13,K04,"9,32",0
G35,N89,"2,29","1,068E-34"
I15,J81,"5,48",0
I73,J81,"1,68","2,201E-60"
G50,N30,"1,35","4,403E-25"
D64,F41,"1,22","7,27E-14"
Q41,H65,2,"3,442E-11"
J43,B25,"17,91",0
E16,N08,"13,72",0
C15,G95,"2,23","9,826E-58"
N03,M25,"1,74","3,574E-20"
D86,E86,"1,39","4,78E-18"
C83,B96,"7,7","1,08E-306"
Q44,A41,"3,33","3,47E-59"
K43,L98,"1,5","5,395E-47"
D28,C54,"1,89","1,19E-10"
G45,F04,"2,05","2,831E-11"
J45,J03,"1,13","9,224E-24"
J37,K04,"2,41","3,403E-40"
K85,K59,"1,31","9,615E-35"
C81,K04,"4,1","7,272E-162"
H28,N17,"3,06","1,545E-17"
I67,D68,"3,55","3,954E-68"
C67,I82,"1,88","1,671E-57"
C53,N89,"4,15","4,746E-144"
C85,C83,"64,85",0
L97,N17,"2,23","1,539E-111"
G80,F79,"16,09",0
D36,C49,"7,27","3,729E-38"
N25,I46,"4,33","5,76E-54"
N61,I97,"2,55","1,666E-11"
Q05,E34,"3,93","8,141E-57"
M33,M81,"5,31",0
H80,H60,"6,03","1,097E-265"
I05,J15,"1,83","2,713E-19"
J43,E87,"1,28","1,129E-11"
C90,A40,"12,01",0
K50,M13,"1,77","1,628E-86"
M05,E27,"1,74","4,361E-18"
I25,J06,"1,3","4,318E-14"
G62,F05,"1,96","1,2E-19"
G80,J69,"17,65",0
Q20,I47,"20,94",0
Q61,B34,"3,44","7,662E-104"
E11,M13,"1,18","8,512E-41"
M70,M19,"1,47","1,589E-53"
E66,I95,"1,23","3,145E-12"
G80,L08,"3,58","4,038E-179"
I25,I11,"2,3",0
I26,I87,"3,23","7,34E-102"
K01,I08,"8,28","8,5E-23"
C02,E86,"1,76","1,543E-33"
E10,B96,"2,24","6,205E-110"
C71,C80,"4,52","2,189E-187"
I20,Q40,"1,37","1,829E-19"
C71,A41,"1,87","2,12E-170"
I64,H53,"2,82",0
N83,Q50,"20,17",0
E11,L27,"1,28","7,226E-15"
M70,M10,"2,69","3,275E-245"
C81,J84,"7,1",0
M31,I73,"1,29","1,409E-15"
M33,A41,"2,35","2,005E-48"
Q21,J13,"3,88","9,971E-123"
C38,D63,"5,17","4,126E-171"
N14,A41,"4,67","9,206E-226"
D41,N30,"1,54","4,268E-34"
E10,K72,"1,88","1,252E-221"
N03,I95,"5,21","1,327E-151"
F11,F19,"32,26",0
H65,D84,"2,06","4,636E-38"
K03,E64,"4,51","1,678E-14"
N03,I35,"4,02","9,149E-250"
I34,I63,"1,2","1,766E-18"
C32,F41,"2,28","1,019E-39"
E11,N15,"1,6","2,323E-56"
C83,K04,"3,61",0
M10,A04,"2,11","2,002E-44"
C53,E64,"2,07","2,22E-25"
A46,M14,"4,48","8,085E-94"
L97,K55,"1,49","4,915E-11"
F10,E46,"3,32","7,748E-95"
F10,B86,"2,51","3,602E-42"
H06,E03,"7,79",0
M34,A41,"2,19","6,875E-77"
B18,E03,"1,55","2,888E-17"
G35,N99,"1,81","1,278E-36"
J42,F41,"2,16","1,135E-67"
Q61,E21,"9,9",0
I50,N08,"2,14","1,547E-82"
K31,E86,"1,76","4,13E-68"
M83,A41,"1,54","5,84E-10"
B34,B01,"1,4","5,038E-16"
M31,B37,"2,51","4,029E-87"
N64,D05,"8,64","3,596E-229"
K86,E34,"2,47","2,013E-37"
C67,N28,"2,23","9,963E-166"
M17,M96,"1,42","4,265E-24"
C83,K05,"3,45","2,855E-286"
C91,D22,"4,29","1,353E-163"
K22,E47,"3,78","1,26E-34"
G40,F12,"2,58","3,87E-100"
D30,N32,"3,42",0
K05,I44,"1,74","3,049E-18"
C65,A41,"1,37","1,247E-10"
K57,K46,3,"6,226E-96"
D32,H54,"6,47","1,889E-119"
M05,A40,"1,89","5,989E-26"
I42,M10,"3,72",0
C81,L90,"2,65","5,973E-58"
Q42,H65,"1,77","1,32E-25"
M31,H04,"7,29","7,122E-261"
C30,C78,"2,38","4,6E-42"
M05,G62,"1,29","1,58E-14"
M05,M19,"3,63",0
J42,F17,"2,93","3,792E-166"
C91,C95,"52,63",0
K52,K72,"1,5","1,291E-12"
J41,N30,"1,19","9,549E-12"
M25,G62,"1,33","4,04E-13"
M32,B07,"18,32",0
I70,B95,"1,69","2,108E-16"
K29,E78,"1,13","1,26E-23"
C62,L90,"2,1","1,416E-27"
M31,B59,"25,82","1,011E-216"
Q05,M20,"4,74","8,615E-92"
F10,E61,"2,25","5,578E-49"
C40,J96,"2,27","4,541E-37"
Q90,J98,"5,16","3,864E-151"
E78,I71,"1,3","2,165E-63"
C92,E23,"1,84","2,469E-11"
M05,I80,"1,31","3,222E-36"
C06,L59,"35,23","1,749E-191"
J90,D19,"19,25","4,054E-77"
Q03,K59,"1,83","3,959E-20"
H36,H18,"3,36","1,47E-152"
K74,C22,"22,94",0
L03,M65,"1,61","2,342E-66"
F10,E12,"1,46","4,1E-17"
M50,M18,"1,36","4,241E-10"
I12,I33,4,"4,364E-42"
E10,L30,"1,47","5,201E-103"
K90,A41,"2,76","8,732E-160"
Q21,K21,"1,88","6,874E-57"
K56,L90,"2,2","1,992E-57"
F10,F22,"4,05",0
M41,J15,"1,71","1,836E-32"
J01,H02,"2,07","2,713E-13"
K10,I33,"3,81","2,31E-26"
C32,C15,"3,37","4,643E-162"
C43,L57,"3,74","1,428E-160"
D30,C66,"16,17",0
K26,F33,"1,48","1,246E-21"
I70,E50,"1,58","6,893E-20"
B91,K59,"1,44","5,499E-11"
G50,F32,"1,45","1,985E-12"
K08,I31,"2,4","2,665E-11"
Q43,K43,"12,61","8,043E-186"
A09,N39,"1,25","9,65E-58"
H50,G96,"1,71","1,556E-15"
J47,J96,"5,81",0
B23,E86,"1,76","1,418E-28"
I05,D68,"6,37","4,986E-68"
K25,E41,"2,02","7,35E-12"
N80,K56,"1,71","1,854E-38"
I35,D50,"1,92",0
Q89,N31,"3,98","2,537E-14"
Q90,H72,"2,31","2,991E-23"
I10,E12,"1,84","8,516E-107"
C91,A32,"25,57","4,034E-235"
Q05,E22,"6,7","2,715E-63"
Q05,E30,"6,32","2,912E-102"
K63,D75,3,"7,58E-40"
K70,E47,"4,07","6,793E-66"
M32,L97,"3,66","1,034E-108"
K86,I64,"1,27","9,11E-32"
M32,I20,"1,75","3,808E-93"
E11,H21,"1,81","2,908E-33"
K04,I33,"9,49","7,569E-304"
G63,L89,"3,86","7,767E-34"
J43,F41,"1,65","1,746E-15"
I20,B34,"1,24","1,185E-19"
C53,I82,"4,32","3,096E-210"
D33,E23,"11,91",0
F10,J13,"2,42","3,275E-286"
C43,F41,"1,58","1,498E-24"
E11,D51,"1,64","4,565E-167"
L20,J46,"5,78","3,527E-234"
C49,A41,"2,2","1,307E-117"
C32,J22,"1,83","9,945E-15"
Q02,J15,"13,15","6,176E-237"
C81,D61,"13,23",0
I77,M85,"2,83","1,043E-17"
N03,L30,"2,89","3,98E-53"
B23,G63,"7,12","7,169E-101"
N03,E64,"2,47","3,446E-14"
I60,G96,"2,87","2,648E-39"
C06,C10,"47,18",0
G99,N39,"1,91","9,112E-20"
Q02,H91,"5,35","9,088E-108"
C81,K08,"2,62","3,066E-37"
C91,F43,"3,44","5,044E-192"
J45,J41,"6,02",0
K29,F60,"1,67","4,769E-17"
N04,E86,"2,16","8,913E-57"
C77,A49,"1,75","8,399E-72"
C91,L90,"2,87","2,04E-136"
M43,M81,"1,32","1,83E-31"
L30,J18,"1,24","3,729E-37"
M32,E78,"1,31","1,861E-12"
C81,A49,"3,21","7,41E-101"
M89,M19,"1,77","2,355E-54"
D12,D62,"1,4","3,518E-31"
C20,K60,"2,46","9,156E-174"
M10,N39,"1,37","2,691E-61"
M10,K92,"1,24","8,221E-19"
